gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT1G01010	107	220	137	64	64	51	269	145	156
AT1G01020	313	334	310	294	199	193	290	350	284
AT1G01030	55	55	48	43	101	43	745	872	421
AT1G01040	1655	2016	1974	1850	1491	1565	1307	1614	1162
AT1G01046	37	44	53	75	34	50	28	29	44
AT1G01050	1053	1109	1040	855	818	865	674	760	790
AT1G01060	38	50	100	219	136	196	84	20	72
AT1G01070	119	168	187	16	0	17	22	2	24
AT1G01080	2916	2081	2908	2004	2144	1523	1837	2851	2143
AT1G01090	5535	4690	5230	4423	4189	3564	3727	4931	4144
AT1G01100	5695	3953	4465	1831	1423	971	1905	3311	1872
AT1G01110	238	145	192	30	58	30	43	145	89
AT1G01120	3128	1628	3681	3858	3523	2904	10551	5822	7331
AT1G01130	39	36	56	72	67	85	62	83	101
AT1G01140	895	2283	1513	3374	6619	4422	5837	6866	6881
AT1G01150	2	0	6	0	0	0	0	0	0
AT1G01160	1576	1510	1541	1226	1083	1016	712	1157	842
AT1G01170	2082	2123	2321	2000	1689	1174	1147	1918	1431
AT1G01180	416	1006	758	796	626	650	339	259	442
AT1G01183	0	0	0	0	0	0	0	0	0
AT1G01190	126	167	79	10	38	11	205	117	134
AT1G01200	34	18	23	4	8	10	17	21	5
AT1G01210	294	220	256	208	110	142	132	205	121
AT1G01220	1119	1038	1200	948	731	759	441	741	592
AT1G01225	93	50	60	51	25	21	16	53	25
AT1G01230	519	728	630	601	501	436	618	581	653
AT1G01240	1236	2508	2201	2346	1726	2211	979	1466	1982
AT1G01250	74	40	38	140	70	76	38	76	64
AT1G01260	606	780	540	800	1816	730	2872	3590	2359
AT1G01270	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	1	0	0
AT1G01290	423	479	417	358	311	278	229	258	188
AT1G01300	2814	1684	2445	2046	3252	2230	1982	3354	1745
AT1G01305	0	0	0	16	0	0	0	0	2
AT1G01310	9	5	13	122	10	5	2	2	9
AT1G01320	10463	12427	10704	8644	9091	8778	4551	6254	5310
AT1G01335	0	0	0	0	0	0	0	0	0
AT1G01340	152	297	196	171	368	127	350	163	247
AT1G01350	598	587	620	501	444	328	580	505	499
AT1G01355	22	46	23	4	0	1	4	0	3
AT1G01360	271	349	423	380	285	269	375	471	713
AT1G01370	137	44	99	27	23	8	41	50	25
AT1G01380	19	16	44	19	12	10	0	6	14
AT1G01390	26	53	65	102	122	208	32	58	46
AT1G01400	0	1	4	0	3	2	0	0	0
AT1G01410	0	0	0	0	0	0	0	1	0
AT1G01420	195	273	314	353	161	220	88	94	124
AT1G01430	2150	2173	2252	1905	942	1833	405	838	936
AT1G01440	988	1135	1256	855	689	882	639	564	698
AT1G01448	773	760	811	532	510	464	246	453	334
AT1G01450	452	473	515	319	319	311	154	290	228
AT1G01453	4	16	8	1	0	2	0	0	1
AT1G01460	0	1	0	16	0	4	2	0	1
AT1G01470	2519	5528	3894	10049	20776	13461	35036	23116	32969
AT1G01480	76	457	214	41	163	37	227	94	202
AT1G01490	2077	3179	2607	2281	1334	1707	649	860	973
AT1G01500	696	1260	795	690	608	503	588	696	653
AT1G01510	1838	1540	1662	1085	997	827	730	1025	642
AT1G01520	16	4	5	8	8	11	2	1	22
AT1G01530	4	5	0	0	0	0	0	0	0
AT1G01540	4177	2639	4206	3438	2406	2698	2003	2136	1801
AT1G01550	4047	6914	5628	6439	8010	6437	6686	5435	6985
AT1G01560	416	468	294	657	2453	752	1083	476	684
AT1G01570	60	55	61	42	102	51	185	114	133
AT1G01580	12	30	42	22	10	48	37	34	80
AT1G01590	24	31	4	56	33	41	7	5	12
AT1G01600	315	59	237	20	44	30	4	44	5
AT1G01610	2066	1534	2301	1318	872	1000	987	832	1132
AT1G01620	16113	12224	22857	10439	6829	10214	2324	4704	4144
AT1G01630	1559	1541	1913	1718	1208	1050	1020	1188	1120
AT1G01640	20	141	53	30	24	34	16	25	32
AT1G01650	1141	2177	1222	1051	2143	1107	5010	3110	4282
AT1G01660	58	17	25	34	13	28	20	15	54
AT1G01670	62	39	40	88	43	55	28	42	33
AT1G01680	66	123	48	23	16	14	18	7	26
AT1G01690	162	93	93	49	45	42	23	33	18
AT1G01695	7	4	7	5	7	0	3	15	5
AT1G01700	66	102	55	48	40	46	187	209	190
AT1G01710	1076	1509	1048	858	897	752	984	978	1024
AT1G01715	62	68	61	61	20	39	51	52	42
AT1G01720	672	1108	1100	2459	5283	3131	4487	2365	6724
AT1G01725	145	208	233	203	201	147	191	211	248
AT1G01730	490	830	526	469	382	371	243	301	319
AT1G01740	188	266	221	340	241	226	68	89	96
AT1G01750	45	30	44	43	41	19	13	47	15
AT1G01760	119	117	109	119	91	127	37	83	66
AT1G01770	779	944	1009	857	679	685	317	579	436
AT1G01780	252	274	326	262	198	256	91	146	160
AT1G01790	4760	4666	5380	5684	7936	5808	6355	5349	6148
AT1G01800	1472	1788	1630	1631	1444	1355	1192	1405	1324
AT1G01810	15	4	8	4	4	2	12	6	8
AT1G01820	1504	2397	2094	1720	1715	1479	983	1104	1259
AT1G01830	795	1258	884	335	265	290	148	175	290
AT1G01840	122	82	154	119	72	54	21	80	46
AT1G01860	468	431	554	424	227	321	124	309	213
AT1G01870	0	0	0	0	0	0	0	0	0
AT1G01880	82	31	76	21	12	19	14	19	11
AT1G01890	0	1	0	0	0	0	0	0	0
AT1G01900	147	76	121	29	83	38	55	177	66
AT1G01910	1521	1625	1686	1194	1100	940	981	1174	969
AT1G01920	746	570	526	343	315	299	249	417	233
AT1G01930	565	506	547	455	327	397	383	456	407
AT1G01940	250	266	223	186	161	161	116	177	175
AT1G01950	629	436	484	540	1022	704	621	715	772
AT1G01960	4263	5242	4567	3300	3421	3487	2083	2837	2263
AT1G01970	879	729	1041	718	565	470	404	860	500
AT1G01980	4	1	4	152	0	2	0	2	0
AT1G01990	785	1087	1036	780	688	734	606	580	635
AT1G02000	424	661	488	470	282	322	675	585	640
AT1G02010	348	336	368	339	171	224	126	221	177
AT1G02020	814	952	1175	608	628	599	522	567	531
AT1G02030	2	4	1	0	4	0	2	9	0
AT1G02040	4	7	5	0	0	4	1	4	2
AT1G02050	281	284	342	131	81	115	74	126	77
AT1G02060	376	354	286	175	126	202	110	123	111
AT1G02065	369	29	135	13	40	5	1	2	0
AT1G02067	36	2	13	1	5	0	0	0	0
AT1G02070	48	13	41	6	1	6	0	0	0
AT1G02080	3804	5212	4206	2409	3516	3117	2196	2446	2395
AT1G02090	726	710	791	529	480	451	664	645	692
AT1G02100	894	1109	860	735	807	780	605	768	809
AT1G02110	1509	1002	1181	673	666	444	419	729	555
AT1G02120	2074	3104	2516	2080	1851	1668	1699	1730	1780
AT1G02130	868	956	1084	894	745	709	441	718	612
AT1G02140	2415	2759	2777	1764	1519	1253	1745	1877	1728
AT1G02145	548	507	555	464	396	377	268	357	318
AT1G02150	4910	4250	5190	3606	3395	2751	2865	4551	2949
AT1G02160	529	612	656	585	384	428	335	488	405
AT1G02170	1174	1677	1439	1284	2154	1122	1983	1471	1711
AT1G02180	187	136	151	65	56	38	92	100	65
AT1G02190	72	8	19	252	59	20	3	3	10
AT1G02205	3454	883	1837	852	516	395	119	306	503
AT1G02210	0	0	0	0	0	0	0	0	0
AT1G02220	33	243	256	20	14	14	54	35	78
AT1G02230	38	24	57	8	11	0	18	3	11
AT1G02250	0	0	0	0	0	0	1	0	1
AT1G02260	793	763	975	796	684	703	421	450	448
AT1G02270	612	574	596	742	1642	937	2260	1531	1760
AT1G02280	2598	1343	1941	640	750	342	795	1956	800
AT1G02290	351	270	325	104	106	106	34	81	33
AT1G02300	1055	1179	1272	1670	658	895	241	489	468
AT1G02305	2034	3617	3128	1755	1373	1656	1236	1074	1748
AT1G02310	75	276	153	10	5	12	26	11	66
AT1G02320	0	0	0	1	0	0	1	0	0
AT1G02330	531	614	644	397	277	289	409	443	417
AT1G02335	82	66	97	12	93	43	50	29	38
AT1G02340	101	134	142	290	101	335	417	181	1014
AT1G02350	67	33	51	71	35	42	23	77	45
AT1G02360	116	246	127	515	1033	235	406	375	224
AT1G02370	261	209	301	60	90	78	51	81	46
AT1G02380	142	73	77	106	16	81	21	21	55
AT1G02390	134	334	306	1907	1947	2238	798	440	1209
AT1G02400	173	537	191	785	4061	901	9423	3931	4568
AT1G02405	16	40	8	40	64	17	87	70	116
AT1G02410	468	412	422	612	588	469	408	444	472
AT1G02420	112	167	119	63	54	75	58	73	54
AT1G02430	43	44	39	41	22	20	27	32	13
AT1G02440	11	9	12	2	2	5	4	0	3
AT1G02450	62	96	46	31	8	2	12	6	0
AT1G02460	31	82	42	34	32	39	19	41	24
AT1G02470	23	248	114	15	14	16	8	2	8
AT1G02475	1239	1496	1714	1437	1308	1395	910	931	1176
AT1G02480	0	0	0	0	0	0	0	0	0
AT1G02490	0	0	0	2	0	0	0	4	0
AT1G02500	9386	12058	8226	5829	5631	5297	5163	5519	5593
AT1G02510	0	0	0	1	1	0	0	0	0
AT1G02520	23	72	19	48	29	66	20	19	39
AT1G02530	10	4	7	24	12	4	2	0	0
AT1G02540	0	0	0	1	0	0	1	1	0
AT1G02550	1	0	0	0	0	0	0	0	0
AT1G02560	9835	13387	12218	7039	7359	7202	7542	7978	8770
AT1G02570	0	0	3	0	0	0	0	0	8
AT1G02575	0	0	1	4	8	9	0	0	0
AT1G02580	3	16	12	14	16	27	0	0	3
AT1G02590	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	2	0	0	0	0	0	0
AT1G02610	724	1399	1292	1293	464	691	204	294	457
AT1G02620	177	421	330	448	222	437	77	34	84
AT1G02630	33	28	35	7	2	3	0	1	0
AT1G02640	5128	3196	4682	334	295	252	58	314	118
AT1G02650	168	74	146	51	5	22	12	21	28
AT1G02660	5020	4113	4594	5464	9013	7514	4835	5534	6463
AT1G02670	84	33	36	47	76	25	74	200	124
AT1G02680	352	453	415	401	283	266	225	270	238
AT1G02690	525	187	304	95	90	76	39	109	40
AT1G02700	18	2	12	27	9	8	17	10	36
AT1G02705	18	15	12	10	10	8	39	24	50
AT1G02710	14	11	9	8	4	5	33	20	37
AT1G02720	456	188	356	300	310	120	248	504	274
AT1G02730	1522	433	946	109	90	23	75	141	55
AT1G02740	212	286	292	245	286	305	214	164	230
AT1G02750	200	219	262	324	235	241	92	165	159
AT1G02760	0	0	0	0	0	0	0	0	0
AT1G02770	6	27	42	19	8	14	6	0	9
AT1G02780	15142	12083	12414	6950	5566	4230	6360	10105	5836
AT1G02790	0	0	0	813	2	20	0	0	0
AT1G02800	266	42	138	43	12	2	0	22	0
AT1G02810	35	8	4	32	35	16	6	32	8
AT1G02813	0	1	0	0	0	1	0	0	5
AT1G02816	548	654	490	546	362	478	232	230	509
AT1G02820	70	134	169	312	143	213	110	68	114
AT1G02830	0	0	3	0	0	0	2	0	0
AT1G02840	4552	4148	4642	3171	2222	2236	2603	3314	2477
AT1G02850	374	771	601	815	526	905	338	170	475
AT1G02860	404	833	722	505	340	497	472	412	519
AT1G02870	529	447	460	192	163	173	190	279	150
AT1G02880	400	455	405	387	613	314	292	287	379
AT1G02890	2248	3024	2755	2473	2949	2939	2400	2144	2488
AT1G02900	48	186	52	46	44	28	122	106	126
AT1G02910	1751	1540	1906	1727	1520	1371	1388	1837	1681
AT1G02920	1164	8561	3947	8301	8735	5206	3711	1260	2744
AT1G02930	3128	8137	3819	11773	19162	10802	7833	3314	5991
AT1G02940	25	14	23	3	6	12	7	4	1
AT1G02950	37	52	58	14	78	39	65	54	46
AT1G02952	14	25	39	4	41	21	33	28	29
AT1G02960	658	608	641	537	465	469	304	537	375
AT1G02965	0	0	1	1	0	0	0	0	0
AT1G02970	103	39	66	42	8	6	19	17	26
AT1G02980	2	0	1	0	2	0	0	0	4
AT1G02990	712	877	754	624	676	672	689	658	696
AT1G03000	1103	1321	1166	1125	983	1135	609	872	796
AT1G03010	126	112	119	4	23	19	4	22	6
AT1G03020	0	0	2	82	73	88	42	26	22
AT1G03030	474	345	350	351	352	302	269	341	299
AT1G03040	818	1025	855	829	778	639	583	559	608
AT1G03050	10	5	12	105	4	24	7	8	10
AT1G03055	101	36	106	163	110	139	118	91	141
AT1G03060	1515	2689	1856	1496	1893	1774	2302	2168	1771
AT1G03070	11	14	18	10	11	14	5	13	20
AT1G03080	2730	5953	2960	3894	3890	2614	7279	5611	7065
AT1G03090	4018	2889	3312	1895	1824	1361	922	2911	1898
AT1G03100	213	200	162	94	96	72	44	140	55
AT1G03103	0	0	0	0	0	0	0	0	0
AT1G03106	0	10	0	0	0	0	2	0	0
AT1G03110	225	197	215	142	121	54	90	158	109
AT1G03120	5	3	2	2	7	16	2	2	2
AT1G03130	41075	31984	43987	53491	44279	38614	27599	38906	33301
AT1G03140	2106	2779	2614	2150	1855	1739	1210	1390	1488
AT1G03150	394	563	527	476	412	359	308	308	398
AT1G03160	2492	2728	2769	2664	2950	2314	2331	2429	2557
AT1G03165	10	4	15	26	3	14	20	16	21
AT1G03170	11	26	10	26	33	38	65	40	83
AT1G03180	87	57	44	29	29	12	18	45	31
AT1G03190	373	351	316	198	155	154	134	138	113
AT1G03200	21	40	30	8	9	11	18	11	17
AT1G03210	301	477	258	247	224	171	193	233	153
AT1G03220	6994	8478	10429	17031	23382	10366	4959	3918	8373
AT1G03230	2028	1477	1474	1998	3214	1213	675	850	864
AT1G03240	0	0	0	0	0	0	0	0	0
AT1G03250	604	732	729	652	647	558	658	619	669
AT1G03260	256	268	260	158	161	164	220	263	201
AT1G03270	117	59	93	101	82	56	46	73	53
AT1G03280	1127	1305	1433	1082	855	824	684	800	752
AT1G03290	1057	1758	1374	979	700	1013	773	557	848
AT1G03300	247	181	255	144	24	100	6	7	6
AT1G03310	1606	1591	1787	1585	1303	1553	1098	863	942
AT1G03320	0	4	5	4	3	2	7	4	0
AT1G03325	0	0	0	1	0	0	0	0	0
AT1G03330	416	352	454	471	294	237	230	365	261
AT1G03340	33	94	116	128	104	110	26	49	48
AT1G03350	1223	1667	1510	787	654	718	1220	1102	1039
AT1G03360	300	156	219	75	60	69	66	85	26
AT1G03365	571	560	649	488	478	513	319	370	409
AT1G03370	1891	2567	2097	2364	4972	2409	4422	3414	3534
AT1G03380	1217	2503	2093	1349	1440	1856	737	836	1067
AT1G03390	2	1	0	0	6	0	6	2	2
AT1G03395	0	0	0	0	0	0	3	0	1
AT1G03400	1246	1824	2124	1592	1217	1257	1261	771	1179
AT1G03410	965	974	1018	1238	657	854	632	876	641
AT1G03430	451	498	444	637	562	536	500	480	504
AT1G03440	384	349	335	534	334	423	62	94	96
AT1G03445	2	8	2	12	1	1	2	0	0
AT1G03457	572	157	390	195	114	191	56	120	76
AT1G03470	325	110	218	59	25	58	19	34	52
AT1G03475	7069	6003	6830	3952	3998	2719	4565	5702	4241
AT1G03490	0	0	0	0	0	0	0	0	0
AT1G03495	215	337	219	119	87	117	195	150	156
AT1G03502	6	3	2	1	3	3	0	3	4
AT1G03506	5	6	8	8	1	7	2	3	5
AT1G03510	62	100	46	52	28	40	40	44	24
AT1G03515	0	0	0	0	0	0	4	0	0
AT1G03520	398	333	517	294	346	277	133	222	321
AT1G03530	429	390	469	169	132	180	126	138	83
AT1G03540	91	104	77	51	40	52	76	58	48
AT1G03545	227	291	328	270	185	186	144	124	169
AT1G03550	218	289	301	256	177	167	120	98	161
AT1G03560	326	422	407	324	164	276	202	310	210
AT1G03570	0	0	0	0	0	0	0	0	0
AT1G03590	780	467	584	692	613	669	435	726	534
AT1G03600	15112	11192	13655	13556	13231	8794	12089	18843	13179
AT1G03610	1616	1727	1479	2928	4188	3353	1975	3354	3191
AT1G03620	124	201	101	68	45	62	17	20	9
AT1G03630	6612	5050	6492	6824	6961	4976	6048	6327	5658
AT1G03640	0	0	0	0	0	0	0	0	0
AT1G03650	168	178	174	75	54	82	56	61	58
AT1G03660	29	3	20	9	3	15	0	7	3
AT1G03670	2	6	0	0	0	0	0	2	0
AT1G03680	10145	9395	12748	11601	12682	10527	9776	9970	10914
AT1G03687	441	231	312	201	160	183	184	271	166
AT1G03700	0	0	0	0	2	0	0	0	0
AT1G03710	7	6	11	22	3	2	8	8	9
AT1G03720	0	0	0	3	0	0	0	0	0
AT1G03730	372	546	642	1276	1258	1131	1223	1174	1122
AT1G03740	2253	5712	4349	8462	11803	7049	8135	4991	6011
AT1G03743	0	0	0	0	0	0	0	0	0
AT1G03746	0	0	0	0	0	0	0	0	0
AT1G03750	231	259	275	151	73	122	149	175	139
AT1G03760	378	358	346	125	70	97	138	121	94
AT1G03770	195	222	203	144	121	129	107	104	77
AT1G03780	596	107	314	37	20	11	13	41	13
AT1G03790	8	6	12	6	0	0	1	1	90
AT1G03800	6	4	8	36	20	33	21	24	26
AT1G03810	0	0	0	0	0	0	0	0	2
AT1G03820	38	140	44	16	18	10	56	28	120
AT1G03830	429	264	391	164	156	132	104	152	62
AT1G03840	6	22	12	7	0	2	0	0	0
AT1G03850	126	493	565	311	209	136	87	13	72
AT1G03860	1783	1725	1659	860	764	743	788	1150	876
AT1G03870	10290	3741	9290	3562	1234	2320	522	1304	450
AT1G03880	0	0	0	0	0	0	0	0	0
AT1G03890	1	0	0	0	0	0	0	3	0
AT1G03900	1911	2745	2116	1462	1380	1307	1542	1754	1638
AT1G03905	79	112	58	71	77	32	108	82	68
AT1G03910	1533	1573	1548	1027	870	850	982	1140	1048
AT1G03920	20	10	22	1	17	0	15	15	4
AT1G03930	1030	1078	1222	1160	1036	845	981	1488	963
AT1G03935	14	12	23	8	4	11	7	10	13
AT1G03940	219	217	167	88	65	61	141	76	166
AT1G03950	313	429	384	410	337	342	315	242	351
AT1G03960	438	375	490	495	314	364	281	319	286
AT1G03970	794	1108	1048	1039	1123	1132	809	685	876
AT1G03980	28	7	2	6	4	0	0	11	2
AT1G03982	0	4	0	0	0	0	0	0	0
AT1G03987	0	3	1	3	3	1	14	12	5
AT1G03990	82	125	110	96	69	126	103	158	199
AT1G03993	103	147	131	106	118	102	108	95	76
AT1G03997	124	151	134	109	80	80	97	80	91
AT1G04000	302	284	341	344	276	290	322	408	425
AT1G04003	0	0	0	0	0	0	0	0	0
AT1G04007	150	172	206	135	112	109	66	108	87
AT1G04010	290	227	152	192	168	169	92	107	120
AT1G04013	681	728	802	684	636	404	401	606	502
AT1G04017	21	32	24	20	13	20	22	32	28
AT1G04020	255	177	161	98	68	21	91	172	141
AT1G04023	56	26	41	16	30	35	10	12	14
AT1G04027	4	15	10	8	39	40	83	48	76
AT1G04030	1002	530	1090	527	269	223	251	675	287
AT1G04033	0	0	0	0	0	0	0	0	0
AT1G04037	16	22	24	10	11	3	38	32	29
AT1G04040	2506	1405	2952	1339	550	545	773	1621	698
AT1G04043	0	0	0	2	1	0	3	0	0
AT1G04047	126	155	199	166	134	113	94	157	111
AT1G04050	154	107	141	74	38	70	30	63	28
AT1G04053	32	23	38	33	25	15	6	23	11
AT1G04057	15	10	9	9	6	18	3	10	9
AT1G04063	0	0	0	0	0	0	0	0	0
AT1G04067	30	12	48	24	24	5	1	8	12
AT1G04070	150	164	144	113	143	71	172	158	158
AT1G04073	64	46	85	73	47	41	18	57	18
AT1G04077	83	29	63	23	44	27	28	108	36
AT1G04080	3971	3767	3849	2939	3366	2572	4417	4719	3966
AT1G04083	262	241	208	164	150	132	130	169	136
AT1G04087	0	0	1	0	0	0	0	0	0
AT1G04090	2	19	12	13	10	22	10	18	16
AT1G04093	0	0	2	2	0	0	1	0	0
AT1G04097	107	193	200	76	72	83	65	40	82
AT1G04100	60	128	99	96	114	100	154	76	123
AT1G04103	31	116	59	0	0	0	10	6	13
AT1G04105	20	44	38	39	57	34	61	25	41
AT1G04110	138	84	118	2	39	10	6	50	4
AT1G04117	109	169	118	84	56	79	67	80	53
AT1G04120	1544	1613	1519	1057	1018	944	1328	1356	1097
AT1G04123	4	1	2	6	2	0	3	5	2
AT1G04127	0	0	0	0	0	0	0	0	0
AT1G04130	246	222	182	128	137	106	162	129	113
AT1G04133	41	163	99	139	70	135	21	16	25
AT1G04137	0	0	0	0	0	0	0	0	0
AT1G04140	2760	4368	3306	2733	2781	3015	2423	2494	2655
AT1G04143	0	0	0	0	0	0	0	0	0
AT1G04147	64	118	115	81	53	69	75	75	105
AT1G04150	10	0	6	0	4	0	0	0	0
AT1G04153	45	34	56	20	9	9	33	18	12
AT1G04157	241	132	199	113	95	71	49	150	145
AT1G04160	407	182	327	237	266	202	484	656	355
AT1G04163	73	82	68	29	34	42	26	27	16
AT1G04167	0	0	0	1	0	0	1	1	0
AT1G04170	2092	1829	1821	907	810	681	1028	1216	966
AT1G04173	3	2	7	11	3	3	7	8	7
AT1G04177	0	0	0	0	0	0	0	0	0
AT1G04180	47	12	10	6	13	9	167	886	425
AT1G04183	909	922	962	1151	573	755	570	814	581
AT1G04187	8	12	6	8	4	8	13	4	21
AT1G04190	536	476	503	335	291	253	258	278	224
AT1G04193	3	5	3	2	4	7	5	6	5
AT1G04197	2	0	5	2	1	2	2	0	3
AT1G04200	1065	1069	877	760	1126	772	1691	1521	1338
AT1G04203	2	0	0	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0	0	0	0
AT1G04210	1661	1712	1732	1375	1860	1735	1825	2147	1650
AT1G04213	12	25	23	27	39	36	54	43	44
AT1G04217	5	23	15	9	13	12	10	12	22
AT1G04220	68	112	62	83	8	4	30	29	94
AT1G04223	9	11	21	10	7	7	16	13	20
AT1G04227	6	7	12	10	8	5	19	3	13
AT1G04230	970	992	942	713	463	557	553	880	757
AT1G04233	274	408	369	398	468	432	296	174	305
AT1G04237	480	247	547	230	117	107	155	276	148
AT1G04240	1290	1133	1168	926	504	787	645	1096	989
AT1G04243	0	0	0	0	0	0	0	0	0
AT1G04247	59	104	51	59	4	4	21	28	85
AT1G04250	557	306	676	343	210	252	354	290	375
AT1G04253	0	0	0	0	0	0	0	0	0
AT1G04257	0	0	1	0	0	0	0	0	0
AT1G04260	378	448	491	280	226	223	276	292	260
AT1G04263	0	0	0	0	0	0	0	0	0
AT1G04267	961	661	851	490	251	227	473	646	296
AT1G04270	7463	5489	5905	3019	2596	1913	3133	4820	2667
AT1G04273	21	11	8	6	4	3	4	6	3
AT1G04277	20	9	10	9	2	0	3	7	7
AT1G04280	819	1165	859	770	717	691	314	389	518
AT1G04283	0	0	0	0	0	0	0	0	0
AT1G04287	0	0	0	0	0	0	0	0	0
AT1G04290	294	275	316	501	291	306	265	282	269
AT1G04293	0	0	0	1	0	0	0	0	0
AT1G04295	213	214	241	357	205	222	190	199	194
AT1G04297	131	72	52	31	18	14	14	35	16
AT1G04300	2363	3204	2883	2434	2357	2324	1856	2170	2416
AT1G04303	54	64	64	27	32	32	27	48	32
AT1G04307	0	0	0	0	0	0	0	0	0
AT1G04310	269	158	294	54	92	61	16	79	75
AT1G04313	15	46	36	21	34	14	5	34	40
AT1G04320	0	0	0	0	0	0	0	0	0
AT1G04323	16	38	38	6	53	14	18	31	19
AT1G04327	0	0	1	0	0	0	0	0	0
AT1G04330	6	6	2	10	12	6	10	4	6
AT1G04333	0	0	1	0	0	0	0	0	0
AT1G04337	0	0	0	0	0	0	0	0	0
AT1G04340	356	381	366	252	212	235	169	232	211
AT1G04343	272	318	242	288	187	220	162	282	155
AT1G04347	155	137	159	98	72	54	90	117	58
AT1G04350	1483	2202	2432	2114	1833	1793	1515	945	1530
AT1G04353	528	422	468	348	271	205	277	420	288
AT1G04357	9	15	26	30	20	17	27	29	30
AT1G04360	82	96	66	301	236	198	34	206	72
AT1G04363	5	4	10	13	13	7	7	14	13
AT1G04367	3	1	3	3	0	7	4	3	3
AT1G04370	0	2	2	8	4	0	0	0	2
AT1G04373	0	0	0	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0	0	0	0
AT1G04380	6	0	0	3	2	2	6	2	10
AT1G04383	0	0	0	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0	0	0	0
AT1G04390	560	556	558	445	298	401	325	377	365
AT1G04393	1	0	0	1	0	0	0	0	0
AT1G04397	2	0	3	8	4	10	2	2	13
AT1G04400	6570	9415	8218	7050	6213	7588	4918	6127	6152
AT1G04403	0	0	0	0	0	0	0	0	0
AT1G04407	0	0	0	0	0	0	0	0	0
AT1G04410	15365	22158	16490	10687	10336	8770	10805	10455	10662
AT1G04413	86	93	92	67	49	61	38	52	49
AT1G04417	9	3	3	3	1	2	1	3	0
AT1G04420	3725	2416	3631	2858	3059	2066	2937	3892	3112
AT1G04423	0	3	1	2	0	1	2	3	0
AT1G04425	98	24	48	3	4	8	6	33	4
AT1G04427	18	35	22	21	9	16	27	6	10
AT1G04430	8810	5712	8993	6007	5410	6042	5023	6077	4879
AT1G04433	195	54	108	25	19	5	14	79	6
AT1G04437	76	86	111	64	61	64	50	55	59
AT1G04440	2014	4058	2811	2610	2426	2653	2899	1957	3127
AT1G04443	0	0	0	0	0	0	0	0	0
AT1G04445	3	14	17	0	2	6	4	6	6
AT1G04447	0	0	0	0	0	0	0	0	0
AT1G04450	1	0	0	0	0	0	0	0	0
AT1G04453	0	0	1	4	0	2	2	0	0
AT1G04455	0	0	0	0	0	0	0	0	0
AT1G04463	113	81	129	110	73	112	89	139	100
AT1G04467	910	1128	1370	1115	1234	1192	572	568	864
AT1G04470	1	1	0	73	0	8	0	1	0
AT1G04473	52	52	47	29	20	14	17	21	20
AT1G04477	110	65	125	111	71	77	43	65	34
AT1G04480	2941	2206	2779	1393	881	704	1544	2220	978
AT1G04483	22	20	16	9	8	7	7	17	9
AT1G04487	691	1316	1003	793	706	662	580	435	709
AT1G04490	6	23	8	19	34	24	34	8	58
AT1G04493	38	19	22	8	8	2	5	20	2
AT1G04497	26	19	28	8	3	7	8	7	4
AT1G04500	4	15	13	13	4	26	2	3	0
AT1G04503	2749	1937	2039	880	583	408	402	1011	443
AT1G04507	23	13	20	23	3	13	8	14	1
AT1G04510	1419	1354	1305	636	738	566	694	622	678
AT1G04513	392	538	461	535	439	395	405	475	411
AT1G04517	0	0	0	0	0	0	0	0	0
AT1G04520	190	34	165	59	73	13	23	81	26
AT1G04523	0	0	0	0	0	0	0	0	0
AT1G04527	0	0	0	0	0	0	0	0	0
AT1G04530	915	1171	1179	1351	919	822	1001	911	801
AT1G04533	0	0	2	0	0	0	0	1	2
AT1G04537	287	265	251	192	237	147	295	312	219
AT1G04540	113	52	74	177	40	30	40	34	30
AT1G04547	0	0	2	0	1	0	1	0	1
AT1G04550	372	320	352	259	165	154	101	176	117
AT1G04555	104	160	127	74	56	101	85	79	76
AT1G04557	0	1	1	2	2	0	0	2	0
AT1G04560	2	0	0	2	0	1	0	0	35
AT1G04563	4	3	1	1	0	0	1	1	0
AT1G04567	33	23	17	25	51	32	31	34	33
AT1G04570	16	30	12	26	9	16	355	86	242
AT1G04573	0	0	0	0	0	0	0	0	0
AT1G04577	43	58	52	44	42	40	29	34	50
AT1G04580	16	32	45	29	5	6	1	0	3
AT1G04583	1	0	0	0	0	4	8	3	11
AT1G04587	41	65	46	59	48	48	28	41	48
AT1G04590	404	328	381	209	185	165	169	218	186
AT1G04593	0	0	0	0	0	0	0	0	0
AT1G04597	0	0	0	0	0	0	0	0	0
AT1G04600	49	113	72	8	6	8	10	11	1
AT1G04603	0	0	0	0	0	0	0	0	0
AT1G04607	0	0	0	0	0	0	3	0	0
AT1G04610	0	0	1	2	0	0	0	0	0
AT1G04620	571	527	781	446	438	433	288	316	353
AT1G04623	0	0	0	0	0	0	0	0	0
AT1G04625	100	84	80	63	40	38	66	78	42
AT1G04630	1095	931	925	511	467	362	677	747	584
AT1G04635	54	46	66	14	16	6	28	38	23
AT1G04640	1224	1084	1426	1341	928	762	780	1197	820
AT1G04643	1	1	0	0	0	0	1	0	0
