gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT3G04410	0	2	1	0	2	0	0	0	2
AT3G04415	0	0	0	0	0	0	0	0	0
AT3G04420	11	88	57	23	10	11	22	2	19
AT3G04425	0	0	0	0	0	0	0	0	0
AT3G04430	0	0	0	0	0	0	0	0	0
AT3G04435	0	0	0	0	0	0	0	0	0
AT3G04440	177	208	177	102	41	72	26	91	66
AT3G04443	181	213	187	108	44	74	28	97	72
AT3G04450	246	154	200	150	132	164	38	130	80
AT3G04455	0	0	0	0	0	0	0	1	0
AT3G04460	337	270	316	266	257	216	157	254	176
AT3G04470	2645	1967	2563	1321	1242	1342	1104	1667	1066
AT3G04475	0	0	0	0	0	0	0	0	0
AT3G04480	978	1053	1109	738	688	568	595	553	527
AT3G04485	92	59	63	52	37	18	11	25	14
AT3G04490	912	1047	946	743	895	875	575	717	590
AT3G04495	0	0	0	0	0	0	0	0	0
AT3G04500	865	870	809	537	565	379	557	740	634
AT3G04505	0	0	0	0	0	0	0	0	0
AT3G04510	169	45	90	0	0	0	0	6	0
AT3G04515	0	0	0	0	0	0	0	0	0
AT3G04520	756	695	665	430	350	438	341	278	364
AT3G04525	0	0	0	0	0	0	0	0	0
AT3G04530	0	2	3	0	0	0	0	0	0
AT3G04535	0	0	0	0	0	0	0	0	0
AT3G04540	0	0	0	22	0	0	1	0	0
AT3G04545	0	0	0	3	0	0	0	0	0
AT3G04550	4203	4757	6095	3244	2432	2548	2414	2960	2042
AT3G04555	0	0	0	0	0	0	0	0	0
AT3G04560	626	879	806	589	490	537	433	672	498
AT3G04565	0	0	0	0	0	0	0	0	0
AT3G04570	4	54	10	0	0	3	0	0	4
AT3G04575	0	0	0	0	0	0	0	0	0
AT3G04580	733	933	731	412	505	380	447	508	533
AT3G04585	0	0	0	0	0	0	0	0	0
AT3G04590	1038	1079	1112	807	703	744	421	595	474
AT3G04595	0	0	0	0	0	0	0	0	0
AT3G04600	1344	1346	1400	673	647	451	694	776	653
AT3G04610	1638	1635	1586	1093	953	892	850	1068	880
AT3G04615	38	16	24	44	53	36	34	22	38
AT3G04620	61	23	43	17	19	8	78	21	39
AT3G04625	0	0	0	0	0	0	0	0	0
AT3G04630	996	376	695	816	689	491	1174	1444	1006
AT3G04635	31	21	22	14	19	16	9	9	15
